filename,idx,eng,CP1,CP2,H_donor,H_accep,HB,ionCRD,cc,co,numHB,numSHB,numCRD,C_O,pt_len,dih_gs1,dih_gs2,cp1p,cp1t,cp2p,cp2t,freq,unphy,HB_info,bond_brk,bond_uexp,CP1_f,CP2_f,H_donor_f,H_accep_f,HB_f,ionCRD_f,numHB_f,numCRD_f,C_O_f,pt_len_f,dih_gs1_f,dih_gs2_f,cp1p_f,cp1t_f,cp2p_f,cp2t_f,HB_info_f,E
aMal350_TSdh_nn_182_0,2662,-1459.8999,5H4,3S1,2,1,"[1_11,1_50,6_3,9_50,10_7,11_9,13_10]",[2],-1,1,7,3,1,2.521,"[1.718, 0.963]",157.9,105.0,82.5,115.1,22.4,90.5,0,0,"[[6.36,2.7,150.0],[8.93,6.07,114.1],[7.33,3.7,136.3],[7.21,5.31,102.7],[7.72,4.84,117.3],[8.09,6.07,103.3],[8.09,3.89,149.1]]","[[[1, 1],'C_O',2.521,'CO'],[[2, 2],'H_O',1.718,'OH']]",[],5H4,3OB,2,1,"[1_11,6_3,9_11,10_7,13_10]",[2],5,1,2.4290000000000003,"[1.833, 0.949]",146.8,83.0,85.8,116.0,9.8,92.0,"[[8.37,3.77,167.4],[7.29,3.58,139.0],[8.17,4.61,129.6],[7.72,5.2,111.3],[8.98,5.01,134.7]]",331.6
aMal157_TSdh_nn_356_2,2602,-1459.9005,E3,1C4,10,13,"[2_1,9_11]","[1,2,3]",-1,1,2,1,3,2.511,"[1.918, 0.93]",57.3,135.0,179.2,49.3,246.6,169.7,0,0,"[[5.42,1.66,150.2],[8.13,4.37,134.2]]","[[[1, 1],'C_O',2.511,'CO'],[[10, 10],'H_O',1.918,'OH'],[[13, 13],'H_O',3.409,'OH']]",[],E3,1C4,10,13,"[2_1,9_11]","[1,2,3]",2,3,2.568,"[1.934, 0.934]",109.4,56.0,179.5,49.8,260.2,170.1,"[[5.52,1.87,148.4],[7.95,4.28,133.1]]",330.0
aMal229_TSdh_nn_296_1,892,-1459.9165,5E,3S1,2,1,"[10_7,11_9,13_7]","[2,3]",-1,1,3,0,2,2.642,"[2.162, 0.931]",183.1,120.0,111.0,108.9,22.2,90.0,0,0,"[[8.16,5.11,119.2],[8.25,6.14,104.3],[7.5,5.16,108.8]]","[[[1, 1],'C_O',2.642,'CO'],[[2, 2],'H_O',2.162,'OH']]",[],5S1,OS2,2,1,"[3_6,9_1,9_50,10_7,11_9]","[2,3]",5,2,2.562,"[1.698, 0.989]",143.9,56.3,93.6,102.3,334.0,92.3,"[[7.75,3.85,141.3],[8.47,3.84,164.6],[6.47,4.73,100.8],[8.28,5.34,116.8],[8.03,4.44,130.5]]",288.0
aMal112_TSdh_nn_050_1,2385,-1459.9025,4C1,1C4,3,2,"[2_1,9_50,11_9,13_1,13_7]","[3,50]",3,2,5,1,2,2.077,"[3.074, 0.932]",277.2,75.0,189.2,13.7,260.9,174.8,0,0,"[[8.05,5.93,104.6],[7.28,4.78,111.8],[7.88,4.05,138.1],[7.46,4.4,121.8],[7.87,5.26,112.4]]","[[[3, 4],'C_C',1.808,'bb'],[[2, 2],'C_O',2.077,'CO'],[[3, 3],'H_O',3.074,'OH']]",[],4C1,1C4,3,2,[2_1],"[3,9,11,7]",1,4,2.02,"[2.68, 0.939]",281.5,58.9,201.1,20.4,164.7,168.5,"[[7.79,5.42,108.5]]",324.8
aMal458_TSdh_nn_284_0,3383,-1459.8939,E5,OS2,1,2,"[9_50,11_9]","[1,6,0]",-1,2,2,0,3,2.108,"[1.944, 0.96]",63.2,60.0,298.0,59.5,331.0,91.8,0,0,"[[6.7,4.18,113.6],[8.47,4.86,129.2]]","[[[1, 1],'H_O',1.944,'OH'],[[2, 2],'C_O',2.108,'CO']]",[],E5,OS2,1,2,"[3_13,3_7,9_50,11_9]","[1,6,0]",4,3,2.157,"[2.001, 0.953]",49.7,32.3,314.4,68.4,330.4,92.3,"[[9.03,4.75,141.9],[8.18,4.47,132.4],[6.86,4.79,105.7],[8.39,4.83,128.4]]",347.4
aMal339_TSdh_nn_001_0,351,-1459.9306,3H4,OS2,2,1,"[2_1,9_11,11_13]","[1,2,9,50]",-1,1,3,2,4,2.267,"[1.282, 1.257]",167.5,60.0,33.3,120.5,331.6,90.9,0,0,"[[5.43,1.26,151.8],[8.46,4.31,143.2],[8.27,4.72,128.6]]","[[[1, 1],'C_O',2.267,'CO'],[[2, 2],'H_O',1.282,'OH']]",[],3E,OS2,2,1,"[2_1,9_11,11_13]","[1,2,9,50]",3,4,2.314,"[1.353, 1.163]",145.5,54.0,358.2,112.8,328.6,94.2,"[[5.56,1.16,151.6],[7.9,3.92,142.4],[8.29,4.88,125.4]]",251.0
aMal406_TSdh_nn_165_2,3318,-1459.8944,E1,3OB,1,2,"[9_11,10_7]","[1,11,50]",-1,2,2,0,3,1.9340000000000002,"[2.2, 0.948]",96.2,135.0,50.0,66.0,14.7,90.7,0,0,"[[8.25,5.02,122.1],[7.79,4.69,121.3]]","[[[1, 1],'H_O',2.2,'OH'],[[2, 2],'C_O',1.934,'CO']]",[],B14,3S1,1,2,"[9_1,9_50,10_7]","[1,11,50]",3,3,1.9580000000000002,"[2.898, 0.969]",64.5,127.5,49.3,74.3,15.9,92.1,"[[7.35,3.2,154.6],[7.13,4.93,106.4],[8.14,5.09,119.2]]",346.0
aMal4_TSdh_nn_161_2,372,-1459.9299,3E,3S1,2,1,"[2_1,3_6,13_7]","[1,2,11,50]",-1,1,3,2,4,2.383,"[1.275, 1.264]",96.8,120.0,352.5,109.1,27.0,87.5,0,0,"[[5.46,1.26,153.5],[7.98,3.87,146.5],[7.42,5.1,108.8]]","[[[1, 1],'C_O',2.383,'CO'],[[2, 2],'H_O',1.275,'OH']]",[],3H2,3S1,2,1,[3_6],"[2,9,11,50]",1,4,2.617,"[1.655, 0.98]",131.4,69.5,332.8,109.3,26.6,90.9,"[[9.2,4.74,146.9]]",252.8
aMal157_TSdh_nn_094_1,3866,-1459.8902,E1,1C4,1,2,[9_11],"[1,50]",-1,2,1,0,2,1.9380000000000002,"[2.459, 0.941]",103.5,315.0,51.0,61.3,246.6,169.7,0,0,"[[8.13,4.37,134.2]]","[[[1, 1],'H_O',2.459,'OH'],[[2, 2],'C_O',1.938,'CO'],[[10, 10],'H_O',1.918,'OH'],[[13, 13],'H_O',3.409,'OH']]",[],E1,1C4,1,2,"[3_7,9_11]","[1,50]",2,2,1.994,"[2.367, 0.941]",91.6,318.0,50.9,54.0,268.4,173.9,"[[8.45,4.59,135.0],[7.89,4.07,137.6]]",357.1
aMal404_TSdh_nn_181_1,6402,-1459.8569,1HO,4C1,1,2,"[2_50,9_10,10_11]","[1,2,0]",-1,2,3,1,3,2.274,"[3.547, 0.93]",163.0,210.0,191.8,153.0,203.4,1.4,0,0,"[[7.54,3.53,146.4],[8.05,5.86,105.7],[8.31,5.95,107.7]]","[[[1, 1],'H_O',3.547,'OH'],[[2, 2],'C_O',2.274,'CO']]",[],EO,4C1,1,2,"[2_50,9_10,10_11]","[1,2,0]",3,3,2.315,"[3.556, 0.928]",183.9,182.3,182.6,154.2,163.2,6.2,"[[7.27,3.27,149.2],[7.65,5.41,106.9],[8.42,6.15,106.2]]",444.5
